,pitcher,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,release_spin_rate,release_extension,spin_axis,swinging_strike,name,throw_hand,height,weight,age_on_july_1
0,425794,86.77039957939012,-1.1224763406940061,6.27307570977918,-0.2937118822292324,0.8463932702418506,2289.3738170347,6.4792214623882165,185.17034700315457,0.054153522607781286,AdamParrishWainwright,R,79,230,40.83504449007529
1,425844,88.30352459016393,-1.7339262295081965,6.247377049180328,-0.016483606557377052,1.0864262295081968,2304.327317473339,5.927622950819672,188.48728465955702,0.06475409836065574,DonaldZackaryGreinke,R,74,200,38.69404517453799
2,434378,95.00992963252541,-1.5230727130570758,7.005043002345583,-0.7911962470680219,1.6020719311962472,2422.122848200313,6.078403755868544,207.84115805946792,0.08600469116497264,JustinBrooksVerlander,R,77,235,39.35934291581109
3,434671,88.51491712707183,-0.21245856353591158,5.968218232044198,-0.3774171270718232,1.1497651933701656,2032.9544198895028,6.2668508287292815,194.7596685082873,0.058011049723756904,AníbalAlejandroSánchez,R,72,207,38.340862422997944
4,445276,92.58993135011443,-1.156762013729977,6.706967963386728,0.42229977116704803,1.4297025171624713,2480.0401376146788,6.926958525345623,168.026376146789,0.11784897025171624,KenleyGeronimoJansen,R,77,265,34.75154004106776
5,445926,89.75504201680673,-1.6507773109243697,4.948392857142857,-0.5541071428571428,0.9241806722689077,2142.225026288118,6.1898109243697474,220.41324921135646,0.08928571428571429,JesseDavidChavez,R,73,175,38.861054072553046
6,446321,89.27542579075426,1.7097323600973238,6.51639902676399,0.45031630170316306,0.7911922141119222,2158.8177339901476,5.537192118226601,155.42857142857142,0.0948905109489051,RossEmeryDetwiler,L,77,210,36.32032854209446
7,446372,87.46059800664453,-1.8370431893687709,5.315116279069767,-0.46477076411960133,0.7243322259136212,2292.3541528239202,6.3828571428571435,203.01461794019934,0.09302325581395349,CoreyScottKluber,R,76,215,36.224503764544835
8,448179,87.36491043203372,1.510463645943098,5.852023182297154,0.46360379346680713,1.333508956796628,2256.715644820296,6.233087460484721,153.03065539112052,0.09272918861959958,RichardJosephHill,L,77,221,42.30527036276523
9,450203,93.73876478318002,-2.3052299605781865,5.450854139290408,-0.8100985545335085,0.810466491458607,2366.9947264337507,6.193087557603686,226.43572841133818,0.07424441524310119,CharlesA.Morton,R,77,215,38.63381245722108
